,States,Daily cases,Cumulative,date
8,Sarawak,171,3945,2021-01-28
9,Melaka,73,3306,2021-01-28
10,Kelantan,37,3100,2021-01-28
11,Pahang,72,2792,2021-01-28
12,Wp Labuan,55,2089,2021-01-28
13,Terengganu,80,1837,2021-01-28
14,Wp Putrajaya,10,848,2021-01-28
7,Kedah,92,5509,2021-01-28
2,Wp Kuala Lumpur,687,24338,2021-01-29
6,Perak,73,5932,2021-01-29
0,Selangor,3126,62189,2021-01-29
1,Sabah,288,48307,2021-01-29
3,Johor,684,19746,2021-01-29
4,Negeri Sembilan,69,11450,2021-01-29
5,Pulau Pinang,99,7678,2021-01-29
7,Kedah,125,5634,2021-01-29
8,Sarawak,179,4124,2021-01-29
10,Kelantan,93,3193,2021-01-29
11,Pahang,67,2859,2021-01-29
12,Wp Labuan,5,2094,2021-01-29
14,Wp Putrajaya,16,864,2021-01-29
15,Perlis,3,171,2021-01-29
9,Melaka,74,3380,2021-01-29
13,Terengganu,137,1974,2021-01-29
6,Perak,112,6044,2021-01-30
15,Perlis,0,171,2021-01-30
0,Selangor,3285,65474,2021-01-30
1,Sabah,263,48570,2021-01-30
2,Wp Kuala Lumpur,480,24818,2021-01-30
3,Johor,792,20538,2021-01-30
4,Negeri Sembilan,158,11608,2021-01-30
5,Pulau Pinang,101,7779,2021-01-30
9,Melaka,42,3422,2021-01-30
11,Pahang,51,2910,2021-01-30
12,Wp Labuan,29,2123,2021-01-30
13,Terengganu,85,2059,2021-01-30
14,Wp Putrajaya,12,876,2021-01-30
8,Sarawak,191,4315,2021-01-30
7,Kedah,99,5733,2021-01-30
10,Kelantan,28,3221,2021-01-30
15,Perlis,5,176,2021-01-31
5,Pulau Pinang,69,7848,2021-01-31
0,Selangor,2460,67934,2021-01-31
1,Sabah,298,48868,2021-01-31
2,Wp Kuala Lumpur,783,25601,2021-01-31
3,Johor,1020,21558,2021-01-31
4,Negeri Sembilan,42,11650,2021-01-31
6,Perak,63,6107,2021-01-31
9,Melaka,153,3575,2021-01-31
10,Kelantan,30,3251,2021-01-31
11,Pahang,74,2984,2021-01-31
12,Wp Labuan,24,2147,2021-01-31
13,Terengganu,83,2142,2021-01-31
14,Wp Putrajaya,6,882,2021-01-31
7,Kedah,53,5786,2021-01-31
8,Sarawak,135,4450,2021-01-31
6,Perak,193,6300,2021-02-01
7,Kedah,47,5833,2021-02-01
1,Sabah,276,49144,2021-02-01
2,Wp Kuala Lumpur,702,26303,2021-02-01
3,Johor,1068,22626,2021-02-01
4,Negeri Sembilan,91,11741,2021-02-01
5,Pulau Pinang,119,7967,2021-02-01
0,Selangor,1362,69296,2021-02-01
10,Kelantan,57,3308,2021-02-01
11,Pahang,54,3038,2021-02-01
12,Terengganu,38,2180,2021-02-01
13,Wp Labuan,7,2154,2021-02-01
14,Wp Putrajaya,10,892,2021-02-01
15,Perlis,0,176,2021-02-01
8,Sarawak,105,4555,2021-02-01
9,Melaka,85,3660,2021-02-01
7,Kedah,59,5892,2021-02-02
0,Selangor,1145,70441,2021-02-02
1,Sabah,276,49420,2021-02-02
2,Wp Kuala Lumpur,619,26922,2021-02-02
6,Perak,84,6384,2021-02-02
4,Negeri Sembilan,79,11820,2021-02-02
5,Pulau Pinang,85,8052,2021-02-02
3,Johor,708,23334,2021-02-02
12,Terengganu,115,2295,2021-02-02
15,Perlis,1,177,2021-02-02
14,Wp Putrajaya,6,898,2021-02-02
11,Pahang,63,3101,2021-02-02
9,Melaka,62,3722,2021-02-02
13,Wp Labuan,1,2155,2021-02-02
10,Kelantan,31,3339,2021-02-02
8,Sarawak,121,4676,2021-02-02
0,Selangor,1572,72013,2021-02-03
1,Sabah,190,49610,2021-02-03
2,Wp Kuala Lumpur,651,27573,2021-02-03
3,Johor,964,24298,2021-02-03
4,Negeri Sembilan,133,11953,2021-02-03
6,Perak,106,6490,2021-02-03
7,Kedah,124,6016,2021-02-03
5,Pulau Pinang,122,8174,2021-02-03
9,Melaka,53,3775,2021-02-03
10,Kelantan,65,3404,2021-02-03
11,Pahang,66,3167,2021-02-03
12,Terengganu,55,2350,2021-02-03
13,Wp Labuan,21,2176,2021-02-03
14,Wp Putrajaya,14,912,2021-02-03
15,Perlis,0,177,2021-02-03
8,Sarawak,148,4824,2021-02-03
6,Perak,163,6653,2021-02-04
5,Pulau Pinang,157,8331,2021-02-04
0,Selangor,2056,74069,2021-02-04
1,Sabah,175,49785,2021-02-04
2,Wp Kuala Lumpur,481,28054,2021-02-04
3,Johor,664,24962,2021-02-04
4,Negeri Sembilan,100,12053,2021-02-04
13,Wp Labuan,1,2177,2021-02-04
8,Sarawak,270,5094,2021-02-04
10,Kelantan,48,3452,2021-02-04
11,Pahang,78,3245,2021-02-04
12,Terengganu,69,2419,2021-02-04
14,Wp Putrajaya,20,932,2021-02-04
15,Perlis,0,177,2021-02-04
7,Kedah,51,6067,2021-02-04
9,Melaka,238,4013,2021-02-04
3,Johor,598,25560,2021-02-05
5,Pulau Pinang,149,8480,2021-02-05
6,Perak,92,6745,2021-02-05
0,Selangor,1228,75297,2021-02-05
1,Sabah,196,49981,2021-02-05
2,Wp Kuala Lumpur,395,28449,2021-02-05
4,Negeri Sembilan,116,12169,2021-02-05
7,Kedah,91,6158,2021-02-05
15,Perlis,1,178,2021-02-05
11,Pahang,51,3296,2021-02-05
12,Terengganu,84,2503,2021-02-05
13,Wp Labuan,7,2184,2021-02-05
14,Wp Putrajaya,6,938,2021-02-05
8,Sarawak,178,5272,2021-02-05
10,Kelantan,58,3510,2021-02-05
9,Melaka,141,4154,2021-02-05
7,Kedah,43,6265,2021-02-07
0,Selangor,1606,78384,2021-02-07
2,Wp Kuala Lumpur,372,29223,2021-02-07
3,Johor,499,26644,2021-02-07
4,Negeri Sembilan,92,12394,2021-02-07
5,Pulau Pinang,250,8941,2021-02-07
6,Perak,71,6852,2021-02-07
1,Sabah,160,50374,2021-02-07
8,Sarawak,219,5676,2021-02-07
9,Melaka,313,4796,2021-02-07
10,Kelantan,32,3604,2021-02-07
11,Pahang,34,3378,2021-02-07
12,Terengganu,29,2588,2021-02-07
14,Wp Putrajaya,9,955,2021-02-07
15,Perlis,2,184,2021-02-07
13,Wp Labuan,0,2194,2021-02-07
15,Perlis,4,188,2021-02-08
0,Selangor,1196,79580,2021-02-08
1,Sabah,169,50543,2021-02-08
2,Wp Kuala Lumpur,295,29518,2021-02-08
3,Johor,490,27134,2021-02-08
4,Negeri Sembilan,104,12498,2021-02-08
6,Perak,72,6924,2021-02-08
5,Pulau Pinang,209,9150,2021-02-08
10,Kelantan,30,3634,2021-02-08
9,Melaka,344,5140,2021-02-08
11,Pahang,28,3406,2021-02-08
12,Terengganu,30,2618,2021-02-08
13,Wp Labuan,0,2194,2021-02-08
14,Wp Putrajaya,8,963,2021-02-08
7,Kedah,37,6302,2021-02-08
8,Sarawak,84,5760,2021-02-08
3,Johor,521,27655,2021-02-09
4,Negeri Sembilan,99,12597,2021-02-09
2,Wp Kuala Lumpur,422,29940,2021-02-09
7,Kedah,59,6361,2021-02-09
0,Selangor,862,80442,2021-02-09
6,Perak,40,6964,2021-02-09
1,Sabah,180,50723,2021-02-09
5,Pulau Pinang,119,9269,2021-02-09
9,Melaka,203,5343,2021-02-09
10,Kelantan,62,3696,2021-02-09
11,Pahang,32,3438,2021-02-09
15,Perlis,0,188,2021-02-09
14,Wp Putrajaya,10,973,2021-02-09
8,Sarawak,111,5871,2021-02-09
13,Wp Labuan,10,2204,2021-02-09
12,Terengganu,34,2652,2021-02-09
5,Pulau Pinang,59,9328,2021-02-10
0,Selangor,1757,82199,2021-02-10
1,Sabah,132,50855,2021-02-10
2,Wp Kuala Lumpur,408,30348,2021-02-10
3,Johor,369,28024,2021-02-10
4,Negeri Sembilan,157,12754,2021-02-10
6,Perak,42,7006,2021-02-10
7,Kedah,48,6409,2021-02-10
10,Kelantan,44,3740,2021-02-10
11,Pahang,14,3452,2021-02-10
12,Terengganu,24,2676,2021-02-10
13,Wp Labuan,3,2207,2021-02-10
14,Wp Putrajaya,4,977,2021-02-10
15,Perlis,0,188,2021-02-10
8,Sarawak,135,6006,2021-02-10
9,Melaka,92,5435,2021-02-10
6,Perak,82,7088,2021-02-11
13,Wp Labuan,14,2221,2021-02-11
0,Selangor,1082,83281,2021-02-11
1,Sabah,142,50997,2021-02-11
2,Wp Kuala Lumpur,435,30783,2021-02-11
3,Johor,777,28801,2021-02-11
4,Negeri Sembilan,89,12843,2021-02-11
5,Pulau Pinang,144,9472,2021-02-11
9,Melaka,101,5536,2021-02-11
10,Kelantan,48,3788,2021-02-11
11,Pahang,21,3473,2021-02-11
12,Terengganu,26,2702,2021-02-11
14,Wp Putrajaya,7,984,2021-02-11
7,Kedah,228,6637,2021-02-11
15,Perlis,4,192,2021-02-11
8,Sarawak,184,6190,2021-02-11
5,Pulau Pinang,149,9621,2021-02-12
6,Perak,99,7187,2021-02-12
0,Selangor,1214,84495,2021-02-12
1,Sabah,118,51115,2021-02-12
2,Wp Kuala Lumpur,374,31157,2021-02-12
3,Johor,742,29543,2021-02-12
4,Negeri Sembilan,118,12961,2021-02-12
7,Kedah,188,6825,2021-02-12
9,Melaka,45,5581,2021-02-12
11,Pahang,30,3503,2021-02-12
12,Terengganu,72,2774,2021-02-12
13,Wp Labuan,1,2222,2021-02-12
14,Wp Putrajaya,6,990,2021-02-12
15,Perlis,0,192,2021-02-12
8,Sarawak,83,6273,2021-02-12
10,Kelantan,79,3867,2021-02-12
0,Selangor,1345,85840,2021-02-13
1,Sabah,101,51216,2021-02-13
2,Wp Kuala Lumpur,511,31668,2021-02-13
3,Johor,802,30345,2021-02-13
4,Negeri Sembilan,58,13019,2021-02-13
5,Pulau Pinang,138,9759,2021-02-13
6,Perak,121,7308,2021-02-13
7,Kedah,111,6936,2021-02-13
8,Sarawak,152,6425,2021-02-13
9,Melaka,50,5631,2021-02-13
10,Kelantan,44,3911,2021-02-13
11,Pahang,13,3516,2021-02-13
12,Terengganu,46,2820,2021-02-13
13,Wp Labuan,2,2224,2021-02-13
14,Wp Putrajaya,3,993,2021-02-13
15,Perlis,2,194,2021-02-13
6,Perak,85,7393,2021-02-14
0,Selangor,1103,86943,2021-02-14
1,Sabah,116,51332,2021-02-14
2,Wp Kuala Lumpur,154,31822,2021-02-14
3,Johor,492,30837,2021-02-14
4,Negeri Sembilan,40,13059,2021-02-14
5,Pulau Pinang,56,9815,2021-02-14
15,Perlis,0,194,2021-02-14
8,Sarawak,161,6586,2021-02-14
10,Kelantan,88,3999,2021-02-14
11,Pahang,10,3526,2021-02-14
12,Terengganu,51,2871,2021-02-14
13,Wp Labuan,1,2225,2021-02-14
14,Wp Putrajaya,4,997,2021-02-14
7,Kedah,92,7028,2021-02-14
9,Melaka,11,5642,2021-02-14
4,Negeri Sembilan,145,13204,2021-02-15
6,Perak,83,7476,2021-02-15
0,Selangor,910,87853,2021-02-15
1,Sabah,97,51429,2021-02-15
2,Wp Kuala Lumpur,182,32004,2021-02-15
3,Johor,269,31106,2021-02-15
7,Kedah,33,7061,2021-02-15
5,Pulau Pinang,91,9906,2021-02-15
9,Melaka,14,5656,2021-02-15
14,Wp Putrajaya,7,1004,2021-02-15
12,Terengganu,53,2924,2021-02-15
8,Sarawak,246,6832,2021-02-15
10,Kelantan,31,4030,2021-02-15
15,Perlis,0,194,2021-02-15
11,Pahang,15,3541,2021-02-15
13,Wp Labuan,0,2225,2021-02-15
0,Selangor,1300,89153,2021-02-16
1,Sabah,132,51561,2021-02-16
2,Wp Kuala Lumpur,318,32322,2021-02-16
3,Johor,451,31557,2021-02-16
4,Negeri Sembilan,64,13268,2021-02-16
6,Perak,69,7545,2021-02-16
7,Kedah,38,7099,2021-02-16
5,Pulau Pinang,72,9978,2021-02-16
9,Melaka,14,5670,2021-02-16
10,Kelantan,17,4047,2021-02-16
11,Pahang,19,3560,2021-02-16
12,Terengganu,26,2950,2021-02-16
13,Wp Labuan,1,2226,2021-02-16
14,Wp Putrajaya,6,1010,2021-02-16
15,Perlis,0,194,2021-02-16
8,Sarawak,193,7025,2021-02-16
6,Perak,99,7644,2021-02-17
5,Pulau Pinang,92,10070,2021-02-17
0,Selangor,1382,90535,2021-02-17
1,Sabah,94,51655,2021-02-17
2,Wp Kuala Lumpur,226,32548,2021-02-17
3,Johor,436,31993,2021-02-17
4,Negeri Sembilan,233,13501,2021-02-17
13,Wp Labuan,1,2227,2021-02-17
8,Kedah,36,7135,2021-02-17
10,Kelantan,72,4119,2021-02-17
11,Pahang,14,3574,2021-02-17
12,Terengganu,91,3041,2021-02-17
14,Wp Putrajaya,2,1012,2021-02-17
15,Perlis,0,194,2021-02-17
7,Sarawak,200,7225,2021-02-17
9,Melaka,20,5690,2021-02-17
5,Pulau Pinang,116,10186,2021-02-18
0,Selangor,1013,91548,2021-02-18
1,Sabah,114,51769,2021-02-18
2,Wp Kuala Lumpur,212,32760,2021-02-18
3,Johor,426,32419,2021-02-18
4,Negeri Sembilan,81,13582,2021-02-18
6,Perak,198,7842,2021-02-18
7,Sarawak,200,7425,2021-02-18
9,Melaka,38,5728,2021-02-18
11,Pahang,52,3626,2021-02-18
12,Terengganu,19,3060,2021-02-18
13,Wp Labuan,5,2232,2021-02-18
14,Wp Putrajaya,7,1019,2021-02-18
15,Perlis,6,200,2021-02-18
8,Kedah,182,7317,2021-02-18
10,Kelantan,43,4162,2021-02-18
0,Selangor,978,92526,2021-02-19
1,Sabah,101,51870,2021-02-19
2,Wp Kuala Lumpur,227,32987,2021-02-19
3,Johor,730,33149,2021-02-19
4,Negeri Sembilan,191,13773,2021-02-19
5,Pulau Pinang,188,10374,2021-02-19
6,Perak,155,7997,2021-02-19
7,Sarawak,199,7624,2021-02-19
10,Kelantan,38,4200,2021-02-19
11,Pahang,26,3652,2021-02-19
12,Terengganu,37,3097,2021-02-19
13,Wp Labuan,1,2233,2021-02-19
14,Wp Putrajaya,3,1022,2021-02-19
15,Perlis,0,200,2021-02-19
8,Kedah,36,7353,2021-02-19
9,Melaka,26,5754,2021-02-19
6,Perak,108,8105,2021-02-20
7,Sarawak,134,7758,2021-02-20
1,Sabah,109,51979,2021-02-20
2,Johor,233,33382,2021-02-20
3,Wp Kuala Lumpur,230,33217,2021-02-20
4,Negeri Sembilan,89,13862,2021-02-20
5,Pulau Pinang,87,10461,2021-02-20
0,Selangor,1001,93527,2021-02-20
10,Kelantan,257,4457,2021-02-20
11,Pahang,42,3694,2021-02-20
12,Terengganu,22,3119,2021-02-20
13,Wp Labuan,0,2233,2021-02-20
14,Wp Putrajaya,13,1035,2021-02-20
15,Perlis,3,203,2021-02-20
8,Kedah,101,7454,2021-02-20
9,Melaka,32,5786,2021-02-20
6,Perak,1215,9320,2021-02-21
0,Selangor,868,94395,2021-02-21
1,Sabah,85,52064,2021-02-21
2,Johor,431,33813,2021-02-21
3,Wp Kuala Lumpur,123,33340,2021-02-21
4,Negeri Sembilan,122,13984,2021-02-21
9,Melaka,65,5851,2021-02-21
7,Sarawak,185,7943,2021-02-21
13,Wp Labuan,3,2236,2021-02-21
14,Wp Putrajaya,7,1042,2021-02-21
5,Pulau Pinang,127,10588,2021-02-21
8,Kedah,15,7469,2021-02-21
11,Pahang,9,3703,2021-02-21
10,Kelantan,30,4487,2021-02-21
12,Terengganu,12,3131,2021-02-21
15,Perlis,0,203,2021-02-21
5,Pulau Pinang,135,10723,2021-02-22
0,Selangor,910,95305,2021-02-22
1,Sabah,110,52174,2021-02-22
2,Johor,211,34024,2021-02-22
3,Wp Kuala Lumpur,303,33643,2021-02-22
4,Negeri Sembilan,64,14048,2021-02-22
6,Perak,148,9468,2021-02-22
7,Sarawak,221,8164,2021-02-22
10,Kelantan,28,4515,2021-02-22
11,Pahang,7,3710,2021-02-22
12,Terengganu,4,3135,2021-02-22
13,Wp Labuan,0,2236,2021-02-22
14,Wp Putrajaya,7,1049,2021-02-22
15,Perlis,4,207,2021-02-22
8,Kedah,26,7495,2021-02-22
9,Melaka,14,5865,2021-02-22
6,Perak,308,9776,2021-02-23
13,Wp Labuan,6,2242,2021-02-23
0,Selangor,932,96237,2021-02-23
1,Sabah,94,52268,2021-02-23
2,Johor,428,34452,2021-02-23
3,Wp Kuala Lumpur,155,33798,2021-02-23
4,Negeri Sembilan,100,14148,2021-02-23
5,Pulau Pinang,155,10878,2021-02-23
9,Melaka,22,5887,2021-02-23
10,Kelantan,96,4611,2021-02-23
11,Pahang,11,3721,2021-02-23
12,Terengganu,9,3144,2021-02-23
14,Wp Putrajaya,4,1053,2021-02-23
7,Sarawak,133,8297,2021-02-23
15,Perlis,0,207,2021-02-23
8,Kedah,15,7510,2021-02-23
5,Pulau Pinang,95,10973,2021-02-24
6,Perak,188,9964,2021-02-24
0,Selangor,581,96818,2021-02-24
1,Sabah,105,52373,2021-02-24
2,Johor,318,34770,2021-02-24
3,Wp Kuala Lumpur,381,34179,2021-02-24
7,Sarawak,353,8650,2021-02-24
4,Negeri Sembilan,1392,15540,2021-02-24
11,Pahang,8,3729,2021-02-24
8,Kedah,17,7527,2021-02-24
12,Terengganu,22,3166,2021-02-24
13,Wp Labuan,5,2247,2021-02-24
14,Wp Putrajaya,1,1054,2021-02-24
15,Perlis,0,207,2021-02-24
10,Kelantan,53,4664,2021-02-24
9,Melaka,26,5913,2021-02-24
7,Sarawak,219,8869,2021-02-25
0,Selangor,666,97484,2021-02-25
2,Johor,257,35027,2021-02-25
3,Wp Kuala Lumpur,218,34397,2021-02-25
4,Negeri Sembilan,62,15602,2021-02-25
5,Pulau Pinang,162,11135,2021-02-25
6,Perak,120,10084,2021-02-25
1,Sabah,93,52466,2021-02-25
8,Kedah,29,7556,2021-02-25
9,Melaka,22,5935,2021-02-25
10,Kelantan,44,4708,2021-02-25
11,Pahang,19,3748,2021-02-25
12,Terengganu,6,3172,2021-02-25
14,Wp Putrajaya,2,1056,2021-02-25
15,Perlis,1,208,2021-02-25
13,Wp Labuan,4,2251,2021-02-25
15,Perlis,4,212,2021-02-26
0,Selangor,633,98117,2021-02-26
1,Sabah,129,52595,2021-02-26
2,Johor,276,35303,2021-02-26
3,Wp Kuala Lumpur,122,34519,2021-02-26
4,Negeri Sembilan,68,15670,2021-02-26
6,Perak,545,10629,2021-02-26
5,Pulau Pinang,93,11228,2021-02-26
10,Kelantan,73,4781,2021-02-26
9,Melaka,13,5948,2021-02-26
11,Pahang,21,3769,2021-02-26
12,Terengganu,1,3173,2021-02-26
13,Wp Labuan,0,2251,2021-02-26
14,Wp Putrajaya,0,1056,2021-02-26
7,Sarawak,250,9119,2021-02-26
8,Kedah,25,7581,2021-02-26
3,Wp Kuala Lumpur,117,34636,2021-02-27
4,Negeri Sembilan,74,15744,2021-02-27
0,Selangor,862,98979,2021-02-27
6,Perak,305,10934,2021-02-27
1,Sabah,157,52752,2021-02-27
12,Terengganu,11,3184,2021-02-27
2,Johor,314,35617,2021-02-27
5,Pulau Pinang,155,11383,2021-02-27
13,Wp Labuan,0,2251,2021-02-27
10,Kelantan,68,4849,2021-02-27
9,Melaka,17,5965,2021-02-27
11,Pahang,8,3777,2021-02-27
7,Sarawak,255,9374,2021-02-27
15,Perlis,0,212,2021-02-27
14,Wp Putrajaya,4,1060,2021-02-27
8,Kedah,17,7598,2021-02-27
5,Pulau Pinang,105,11488,2021-02-28
0,Selangor,914,99893,2021-02-28
1,Sabah,134,52886,2021-02-28
2,Johor,340,35957,2021-02-28
3,Wp Kuala Lumpur,337,34973,2021-02-28
4,Negeri Sembilan,65,15809,2021-02-28
6,Perak,287,11221,2021-02-28
7,Sarawak,171,9545,2021-02-28
10,Kelantan,33,4882,2021-02-28
11,Pahang,11,3788,2021-02-28
12,Terengganu,12,3196,2021-02-28
13,Wp Labuan,2,2253,2021-02-28
14,Wp Putrajaya,3,1063,2021-02-28
15,Perlis,0,212,2021-02-28
8,Kedah,13,7611,2021-02-28
9,Melaka,10,5975,2021-02-28
6,Perak,144,11365,2021-03-01
13,Wp Labuan,0,2253,2021-03-01
0,Selangor,453,100346,2021-03-01
1,Sabah,104,52990,2021-03-01
2,Johor,490,36447,2021-03-01
3,Wp Kuala Lumpur,75,35048,2021-03-01
4,Negeri Sembilan,167,15976,2021-03-01
5,Pulau Pinang,85,11573,2021-03-01
9,Melaka,8,5983,2021-03-01
10,Kelantan,36,4918,2021-03-01
11,Pahang,8,3796,2021-03-01
12,Terengganu,15,3211,2021-03-01
14,Wp Putrajaya,6,1069,2021-03-01
15,Perlis,1,213,2021-03-01
7,Sarawak,220,9765,2021-03-01
8,Kedah,16,7627,2021-03-01
7,Sarawak,159,9924,2021-03-02
6,Perak,63,11428,2021-03-02
0,Selangor,672,101018,2021-03-02
1,Sabah,53,53043,2021-03-02
2,Johor,163,36610,2021-03-02
3,Wp Kuala Lumpur,145,35193,2021-03-02
4,Negeri Sembilan,115,16091,2021-03-02
5,Pulau Pinang,106,11679,2021-03-02
9,Melaka,11,5994,2021-03-02
10,Kelantan,46,4964,2021-03-02
11,Pahang,3,3799,2021-03-02
12,Terengganu,7,3218,2021-03-02
13,Wp Labuan,0,2253,2021-03-02
14,Wp Putrajaya,1,1070,2021-03-02
8,Kedah,11,7638,2021-03-02
15,Perlis,0,213,2021-03-02
0,Selangor,640,101658,2021-03-03
1,Sabah,95,53138,2021-03-03
2,Johor,376,36986,2021-03-03
3,Wp Kuala Lumpur,92,35285,2021-03-03
4,Negeri Sembilan,24,16115,2021-03-03
5,Pulau Pinang,90,11769,2021-03-03
6,Perak,136,11564,2021-03-03
7,Sarawak,139,10063,2021-03-03
8,Kedah,40,7678,2021-03-03
9,Melaka,36,6030,2021-03-03
10,Kelantan,33,4997,2021-03-03
11,Pahang,36,3835,2021-03-03
12,Terengganu,5,3223,2021-03-03
13,Wp Labuan,0,2253,2021-03-03
14,Wp Putrajaya,3,1073,2021-03-03
15,Perlis,0,213,2021-03-03
6,Perak,101,11665,2021-03-04
0,Selangor,630,102288,2021-03-04
1,Sabah,78,53216,2021-03-04
2,Johor,255,37241,2021-03-04
3,Wp Kuala Lumpur,120,35405,2021-03-04
4,Negeri Sembilan,91,16206,2021-03-04
5,Pulau Pinang,337,12106,2021-03-04
15,Perlis,1,214,2021-03-04
8,Kedah,12,7690,2021-03-04
10,Kelantan,44,5041,2021-03-04
11,Pahang,13,3848,2021-03-04
12,Terengganu,10,3233,2021-03-04
13,Wp Labuan,0,2253,2021-03-04
14,Wp Putrajaya,7,1080,2021-03-04
7,Sarawak,361,10424,2021-03-04
9,Melaka,3,6033,2021-03-04
4,Negeri Sembilan,77,16283,2021-03-05
6,Perak,109,11774,2021-03-05
0,Selangor,794,103082,2021-03-05
1,Sabah,97,53313,2021-03-05
2,Johor,463,37704,2021-03-05
3,Wp Kuala Lumpur,108,35513,2021-03-05
7,Sarawak,250,10674,2021-03-05
5,Pulau Pinang,119,12225,2021-03-05
9,Melaka,10,6043,2021-03-05
14,Wp Putrajaya,4,1084,2021-03-05
12,Terengganu,16,3249,2021-03-05
8,Kedah,9,7699,2021-03-05
10,Kelantan,57,5098,2021-03-05
15,Perlis,1,215,2021-03-05
11,Pahang,38,3886,2021-03-05
13,Wp Labuan,2,2255,2021-03-05
0,Selangor,826,103908,2021-03-06
1,Sabah,74,53387,2021-03-06
2,Johor,139,37843,2021-03-06
3,Wp Kuala Lumpur,81,35594,2021-03-06
4,Negeri Sembilan,89,16372,2021-03-06
6,Perak,68,11842,2021-03-06
7,Sarawak,221,10895,2021-03-06
5,Pulau Pinang,84,12309,2021-03-06
9,Melaka,10,6053,2021-03-06
10,Kelantan,35,5133,2021-03-06
11,Pahang,17,3903,2021-03-06
12,Terengganu,22,3271,2021-03-06
13,Wp Labuan,1,2256,2021-03-06
14,Wp Putrajaya,2,1086,2021-03-06
15,Perlis,0,215,2021-03-06
8,Kedah,11,7710,2021-03-06
6,Perak,48,11890,2021-03-07
5,Pulau Pinang,172,12481,2021-03-07
0,Selangor,746,104654,2021-03-07
1,Sabah,99,53486,2021-03-07
2,Johor,158,38001,2021-03-07
3,Wp Kuala Lumpur,125,35719,2021-03-07
4,Negeri Sembilan,48,16420,2021-03-07
13,Wp Labuan,8,2264,2021-03-07
8,Kedah,15,7725,2021-03-07
10,Kelantan,12,5145,2021-03-07
11,Pahang,12,3915,2021-03-07
12,Terengganu,10,3281,2021-03-07
14,Wp Putrajaya,2,1088,2021-03-07
7,Sarawak,201,11096,2021-03-07
15,Perlis,24,239,2021-03-07
9,Melaka,3,6056,2021-03-07
5,Pulau Pinang,76,12557,2021-03-08
9,Melaka,4,6060,2021-03-08
6,Perak,49,11939,2021-03-08
0,Selangor,726,105380,2021-03-08
1,Sabah,71,53557,2021-03-08
2,Johor,120,38121,2021-03-08
3,Wp Kuala Lumpur,71,35790,2021-03-08
7,Sarawak,252,11348,2021-03-08
12,Terengganu,13,3294,2021-03-08
11,Pahang,3,3918,2021-03-08
13,Wp Labuan,0,2264,2021-03-08
14,Wp Putrajaya,1,1089,2021-03-08
15,Perlis,17,256,2021-03-08
8,Kedah,9,7734,2021-03-08
10,Kelantan,28,5173,2021-03-08
4,Negeri Sembilan,89,16509,2021-03-08
7,Sarawak,163,11511,2021-03-09
0,Selangor,464,105844,2021-03-09
2,Johor,165,38286,2021-03-09
3,Wp Kuala Lumpur,119,35909,2021-03-09
4,Negeri Sembilan,45,16554,2021-03-09
5,Pulau Pinang,143,12700,2021-03-09
6,Perak,34,11973,2021-03-09
1,Sabah,64,53621,2021-03-09
8,Kedah,25,7759,2021-03-09
9,Melaka,0,6060,2021-03-09
10,Kelantan,16,5189,2021-03-09
11,Pahang,2,3920,2021-03-09
12,Terengganu,36,3330,2021-03-09
14,Wp Putrajaya,3,1092,2021-03-09
15,Perlis,1,257,2021-03-09
13,Wp Labuan,0,2264,2021-03-09
15,Perlis,7,264,2021-03-10
0,Selangor,561,106405,2021-03-10
1,Sabah,54,53675,2021-03-10
2,Johor,273,38559,2021-03-10
3,Wp Kuala Lumpur,103,36012,2021-03-10
4,Negeri Sembilan,10,16564,2021-03-10
6,Perak,83,12056,2021-03-10
5,Pulau Pinang,99,12799,2021-03-10
10,Kelantan,19,5208,2021-03-10
9,Melaka,11,6071,2021-03-10
11,Pahang,1,3921,2021-03-10
12,Terengganu,8,3338,2021-03-10
13,Wp Labuan,0,2264,2021-03-10
14,Wp Putrajaya,0,1092,2021-03-10
7,Sarawak,199,11710,2021-03-10
8,Kedah,20,7779,2021-03-10
3,Wp Kuala Lumpur,86,36098,2021-03-11
4,Negeri Sembilan,79,16643,2021-03-11
0,Selangor,712,107117,2021-03-11
6,Perak,69,12125,2021-03-11
1,Sabah,61,53736,2021-03-11
12,Terengganu,4,3342,2021-03-11
2,Johor,170,38729,2021-03-11
5,Pulau Pinang,169,12968,2021-03-11
13,Wp Labuan,1,2265,2021-03-11
10,Kelantan,28,5236,2021-03-11
9,Melaka,71,6142,2021-03-11
11,Pahang,7,3928,2021-03-11
7,Sarawak,168,11878,2021-03-11
15,Perlis,2,266,2021-03-11
14,Wp Putrajaya,2,1094,2021-03-11
8,Kedah,18,7797,2021-03-11
0,Selangor,751,107868,2021-03-12
1,Sabah,57,53793,2021-03-12
2,Johor,135,38864,2021-03-12
3,Wp Kuala Lumpur,108,36206,2021-03-12
4,Negeri Sembilan,32,16675,2021-03-12
6,Perak,44,12169,2021-03-12
7,Sarawak,173,12051,2021-03-12
5,Pulau Pinang,132,13100,2021-03-12
9,Melaka,25,6167,2021-03-12
10,Kelantan,43,5279,2021-03-12
11,Pahang,4,3932,2021-03-12
12,Terengganu,16,3358,2021-03-12
13,Wp Labuan,3,2268,2021-03-12
14,Wp Putrajaya,4,1098,2021-03-12
15,Perlis,25,291,2021-03-12
